scheduler,internal_device,physical_gpu,start_time_s,end_time_s,duration_s
sailp,0,3,5015.491320043802,5018.401902791113,2.9105827473104
sailp,0,3,5018.899708650075,5022.514121697284,3.614413047209382
sailp,0,3,5023.162768887356,5032.412795918062,9.250027030706406
sailp,0,3,5032.8495136527345,5034.887571603991,2.038057951256633
sailp,0,3,5035.2241697898135,5035.473067309707,0.24889751989394426
sailp,0,3,5036.118324012496,5044.031545501202,7.913221488706768
sailp,0,3,5044.467675086111,5048.431214836426,3.963539750315249
sailp,0,3,5048.767763053998,5052.334178042598,3.5664149885997176
sailp,0,3,5052.72152081877,5058.372775329277,5.651254510506988
sailp,0,3,5058.801512169652,5062.209656942636,3.4081447729840875
sailp,0,3,5062.652399599552,5062.877089262009,0.22468966245651245
sailp,0,3,5063.660913119093,5073.783718338236,10.122805219143629
sailp,0,3,5074.211931538768,5075.394415193237,1.1824836544692516
sailp,0,3,5076.2140487246215,5077.94564585574,1.7315971311181784
sailp,0,3,5078.503911855631,5086.461800640449,7.957888784818351
sailp,0,3,5086.899175823666,5091.213879586197,4.3147037625312805
sailp,0,3,5091.647142687812,5095.881060194224,4.233917506411672
sailp,0,3,5096.527244745754,5097.544815240428,1.0175704946741462
sailp,0,3,5097.9941641278565,5108.29064412415,10.296479996293783
sailp,0,3,5108.627816218883,5114.254790552892,5.626974334008992
sailp,0,3,5114.692059750669,5119.622773593292,4.930713842622936
sailp,0,3,5120.077814894728,5127.926530200988,7.848715306259692
sailp,0,3,5128.481598895043,5132.286891564727,3.805292669683695
sailp,0,3,5132.94771838747,5135.816164538264,2.8684461507946253
sailp,0,3,5136.252700121142,5143.256784958765,7.0040848376229405
sailp,0,3,5143.826271204278,5153.792559013702,9.966287809424102
sailp,0,3,5154.57964810729,5160.669721134007,6.090073026716709
sailp,0,3,5161.106426582672,5186.1293126530945,25.022886070422828
sailp,0,3,5186.79337215703,5187.962088077329,1.1687159202992916
sailp,0,3,5188.672899558209,5189.266137836501,0.5932382782921195
sailp,0,3,5189.888634517789,5190.003299087286,0.11466456949710846
sailp,0,3,5190.439461708069,5222.668370963074,32.22890925500542
sailp,0,3,5223.477569971234,5224.053583060391,0.5760130891576409
sailp,0,3,5224.489972535521,5227.714734176174,3.224761640653014
sailp,0,3,5228.18416757416,5228.361993407831,0.17782583367079496
sailp,0,3,5229.0773011231795,5229.941551151685,0.8642500285059214
sailp,0,3,5230.377183921635,5234.100368493237,3.7231845716014504
sailp,0,3,5234.687914923765,5235.605189599097,0.9172746753320098
sailp,0,3,5236.1094830501825,5243.692300823517,7.582817773334682
sailp,0,3,5244.466261790134,5250.68816750031,6.221905710175633
sailp,0,3,5251.3582998858765,5253.947773492895,2.58947360701859
sailp,0,3,5254.738669846207,5255.9158161357045,1.177146289497614
sailp,0,3,5256.645790407434,5258.124960120767,1.479169713333249
sailp,0,3,5258.593543200754,5259.546176222153,0.9526330213993788
sailp,0,3,5259.980091142468,5260.703735294752,0.7236441522836685
sailp,0,3,5261.435143540613,5261.611242746003,0.17609920538961887
sailp,0,3,5262.391824330203,5268.753494147211,6.361669817008078
