rate,rate_label,scheduler,dataset,count,avg_wait_s,avg_service_s,p95_service_s,max_service_s,avg_completion_s
0.12,0.12,rhsail,math,200,89.40441397160757,73.52633548544719,129.83455672310652,257.1036618752405,162.93074945705476
0.12,0.12,rhsail,mbpp,200,123.74225683332887,58.55519041123334,94.15130169382317,115.90811080951244,182.29744724456222
0.12,0.12,rhsail,mmlu_pro,200,130.57717191792094,26.12760269177146,60.68284149742681,152.26800779625773,156.7047746096924
0.12,0.12,rhsail,strategyqa,200,52.08681414695922,30.33556578976102,58.97025190684944,64.25857587065548,82.42237993672025
0.12,0.12,rhsail,swebench_verified,200,145.98025509744883,142.9170715982467,218.3731719971168,345.6568455239758,288.89732669569554
0.13,0.13,fcfs,gsm8k,200,169.14665268567856,9.652081558131613,20.16736075426449,37.160438179038465,178.79873424381017
0.13,0.13,fcfs,hotpotqa,200,181.60342500652186,27.34137797703035,45.46120498240925,74.54970000963658,208.94480298355222
0.13,0.13,fcfs,math,200,168.70705498996657,42.51124825004488,91.48908145292651,270.4122326206416,211.21830324001144
0.13,0.13,fcfs,mbpp,200,171.02396618040746,35.129361984566785,58.17049648151732,83.73716417886317,206.15332816497423
0.13,0.13,fcfs,mmlu_pro,200,188.714288835139,21.461591600971296,71.61242658495902,139.98223043605685,210.1758804361103
0.13,0.13,fcfs,strategyqa,200,182.4163550564088,19.51893553656526,34.79515605340711,60.59273045696318,201.93529059297404
0.13,0.13,fcfs,swebench_verified,200,203.67715567166917,77.449839557698,140.00715721538288,208.2764777392149,281.12699522936714
0.13,0.13,sjf,gsm8k,200,1.8043705890886486,9.387872052928433,16.20888495380053,135.80002543795854,11.192242642017082
0.13,0.13,sjf,hotpotqa,200,81.59805268448312,72.42076994895004,220.52815038640952,1906.8890154659748,154.01882263343316
0.13,0.13,sjf,math,200,1.876808473994024,41.45022953591775,94.7516740644816,204.76822564937174,43.327038009911774
0.13,0.13,sjf,mbpp,200,2.564581900849007,36.50977496260312,59.76106881820596,148.75076594110578,39.074356863452124
0.13,0.13,sjf,mmlu_pro,200,3.7820205011591317,25.52030187647324,109.19924409035588,171.43945267610252,29.302322377632372
0.13,0.13,sjf,strategyqa,200,1.228557031340897,15.490649402532727,23.651361556164918,37.66005268599838,16.719206433873623
0.13,0.13,sjf,swebench_verified,200,557.256241524024,298.3089093213575,881.7301363301441,6529.405441951938,855.5651508453815
0.13,0.13,rhsail,gsm8k,200,85.55306606677361,13.200634592678398,38.75402463348576,77.18351818900555,98.75370065945201
0.13,0.13,rhsail,hotpotqa,200,154.6219875909714,58.56228591594845,105.79562730602919,130.2679865444079,213.18427350691985
0.13,0.13,rhsail,math,200,159.77994738747367,85.11263386796695,134.21913773817943,268.9114925209433,244.8925812554406
0.13,0.13,rhsail,mbpp,200,188.29338948377872,59.41088603959419,87.9164712163154,149.473990294151,247.70427552337293
0.13,0.13,rhsail,mmlu_pro,200,188.40369797418825,26.36909637747798,70.50742100751955,158.83816197048873,214.77279435166622
0.13,0.13,rhsail,strategyqa,200,87.48519774920773,38.021871505323794,59.499895736342296,75.10620864946395,125.50706925453153
0.13,0.13,rhsail,swebench_verified,200,246.45937271038537,146.80486133720726,215.03471476729027,241.108232001774,393.2642340475926
0.15,0.15,fcfs,gsm8k,200,790.3850682972767,11.00844268721994,23.109054743032885,110.69153757579625,801.3935109844966
0.15,0.15,fcfs,hotpotqa,200,816.5116300915834,27.559186733546667,44.02744632307439,100.06191038200632,844.07081682513
0.15,0.15,fcfs,math,200,753.494621823309,41.538562469286845,91.77306555036915,209.16158357122913,795.0331842925958
0.15,0.15,fcfs,mbpp,200,802.0750105354352,36.02830841379473,58.8525451854337,79.51538762589917,838.10331894923
0.15,0.15,fcfs,mmlu_pro,200,861.9433023547451,23.72232257177122,72.08532902880097,139.53830183669925,885.6656249265163
